date,open,high,low,close,adj_close,volume,ticker,return_1d,trend_5d_return,volume_ma_20,volume_ratio_20,google_trends_ai_interest_raw,sec_ai_intensity_raw,G_bucket,F_bucket,T_bucket,V_bucket,state_without_position
2020-01-02,206.75,209.7899932861328,206.27000427246094,209.77999877929688,208.1465606689453,12077100,META,,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-03,207.2100067138672,210.39999389648438,206.9499969482422,208.6699981689453,207.0452117919922,11188400,META,-0.005291218233025807,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-06,206.6999969482422,212.77999877929688,206.52000427246094,212.60000610351562,210.94464111328125,17058900,META,0.018833709253834874,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-07,212.82000732421875,214.5800018310547,211.75,213.05999755859375,211.40101623535156,14912400,META,0.0021634828913488224,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-08,213.0,216.24000549316406,212.61000061035156,215.22000122070312,213.54421997070312,13475000,META,0.010138095707948436,,13742360.0,0.980544826361702,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-09,217.5399932861328,218.3800048828125,216.27999877929688,218.3000030517578,216.60025024414062,12642800,META,0.014310995042885022,0.040614120877263904,13559100.0,0.9324217684064576,0.0,0.0,low,low,up,normal,low|low|up|normal
2020-01-10,219.1999969482422,219.8800048828125,217.4199981689453,218.05999755859375,216.36212158203125,12119400,META,-0.0010993923683881857,0.04499939751999338,13353428.57142857,0.9075871365299442,0.0,0.0,low,low,up,normal,low|low|up|normal
2020-01-13,219.60000610351562,221.97000122070312,219.2100067138672,221.91000366210938,220.18212890625,14463400,META,0.017655619644912912,0.04379105221264212,13492175.0,1.071984316835499,0.0,0.0,low,low,up,normal,low|low|up|normal
2020-01-14,221.61000061035156,222.3800048828125,218.6300048828125,219.05999755859375,217.3543243408203,13288900,META,-0.012843024906139089,0.02816120854802784,13469588.888888888,0.9865854191705926,0.0,0.0,low,low,up,normal,low|low|up|normal
2020-01-15,220.61000061035156,221.67999267578125,220.13999938964844,221.14999389648438,219.4280548095703,10036500,META,0.009540783120092433,0.027553238573605032,13126280.0,0.7646111464939038,0.0,0.0,low,low,up,normal,low|low|up|normal
2020-01-16,222.57000732421875,222.6300048828125,220.38999938964844,221.77000427246094,220.04324340820312,10015300,META,0.002803600474728274,0.015895610278297223,12843463.636363637,0.7797974349881546,0.0,0.0,low,low,neutral,normal,low|low|neutral|normal
