date,open,high,low,close,adj_close,volume,ticker,return_1d,trend_5d_return,volume_ma_20,volume_ratio_20,google_trends_ai_interest_raw,sec_ai_intensity_raw,G_bucket,F_bucket,T_bucket,V_bucket,state_without_position
2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,151.82955932617188,22622100,MSFT,,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,149.93899536132812,21116200,MSFT,-0.01245188336997205,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,150.32655334472656,20813700,MSFT,0.0025847711095068338,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,148.95594787597656,21634100,MSFT,-0.00911752074569916,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,151.32858276367188,27746500,MSFT,0.01592843334910543,,22786520.0,1.2176716760611097,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,153.21908569335938,21385000,MSFT,0.01249270227184951,0.009151883028273966,22552933.333333332,0.9482136839553762,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,152.51016235351562,20725900,MSFT,-0.0046268605287368425,0.01714808736707485,22291928.57142857,0.929749076379343,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,154.34397888183594,21626500,MSFT,0.012024225140286449,0.026724656740427566,22208750.0,0.9737828558563629,1.0,0.0,low,low,up,normal,low|low|up|normal
2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,153.2569122314453,23477400,MSFT,-0.007043142584932771,0.028874069258716828,22349711.111111112,1.0504565308823282,1.0,0.0,low,low,up,normal,low|low|up|normal
2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,154.24942016601562,21417900,MSFT,0.006476105515367925,0.01930129357588184,22256530.0,0.9623198225419686,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
