date,open,high,low,close,adj_close,volume,ticker,return_1d,trend_5d_return,volume_ma_20,volume_ratio_20,google_trends_ai_interest_raw,sec_ai_intensity_raw,G_bucket,F_bucket,T_bucket,V_bucket,state_without_position
2020-01-02,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,72.33387756347656,135480400,AAPL,,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-03,74.2874984741211,75.1449966430664,74.125,74.35749816894531,71.63063049316406,146322800,AAPL,-0.009722236578501797,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,72.201416015625,118387200,AAPL,0.007968455931927076,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,71.86184692382812,108872000,AAPL,-0.004703080777853308,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.01785278320312,132079200,AAPL,0.016086503601839608,,128228320.0,1.0300314314341792,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,74.56880187988281,170108400,AAPL,0.021240683443329855,0.030897338725481616,135208333.33333334,1.2581206779661016,1.0,0.0,low,low,up,normal,low|low|up|normal
2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,74.73735809326172,140644800,AAPL,0.002260411983692867,0.04337149594675349,135984971.42857143,1.034267232051273,1.0,0.0,low,low,up,normal,low|low|up|normal
2020-01-13,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,76.33407592773438,121532000,AAPL,0.021364386903804933,0.05723793438088576,134178350.0,0.9057496980697706,1.0,0.0,low,low,up,normal,low|low|up|normal
2020-01-14,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,75.30332946777344,161954400,AAPL,-0.013503097370782924,0.047890260148659936,137264577.7777778,1.179870310475827,1.0,0.0,low,low,up,normal,low|low|up|normal
2020-01-15,77.9625015258789,78.875,77.38749694824219,77.83499908447266,74.98063659667969,121923600,AAPL,-0.004285240418643754,0.026880875548398464,135730480.0,0.8982772329398673,1.0,0.0,low,low,up,normal,low|low|up|normal
2020-01-16,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,75.91985321044922,108829200,AAPL,0.012526122161666597,0.018118184770391066,133284909.0909091,0.8165155435996982,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-17,79.06749725341797,79.68499755859375,78.75,79.68250274658203,76.76036834716797,137816400,AAPL,0.011071084850346802,0.02706826017828745,133662533.33333333,1.0310772702198272,1.0,0.0,low,low,up,normal,low|low|up|normal
2020-01-21,79.29750061035156,79.75499725341797,79.0,79.14250183105469,76.24017333984375,110843200,AAPL,-0.006776869607653557,-0.0012301529395537525,131907200.0,0.8403119769049756,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-22,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,76.5123062133789,101832400,AAPL,0.0035694157242023294,0.016054758191307528,129759000.0,0.7847810171163465,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-23,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,76.88079071044922,104472000,AAPL,0.004816016080376295,0.025341930930654177,128073200.0,0.8157210095476649,1.0,0.0,low,low,up,normal,low|low|up|normal
2020-01-24,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,76.65921783447266,146537600,AAPL,-0.0028820317003639406,0.009738752022793395,129227225.0,1.1339530040980141,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-27,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,74.40503692626953,161940000,AAPL,-0.029405216644272203,-0.030684212069512995,131151505.88235295,1.234755170445891,1.0,0.0,low,low,down,normal,low|low|down|normal
2020-01-28,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,76.50989532470703,162234000,AAPL,0.02828919230996796,0.0035377934368143737,132878311.1111111,1.220921598441615,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-29,81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266,78.1114273071289,216229200,AAPL,0.020932350980549463,0.020900181590270517,137265200.0,1.5752659814723615,1.0,0.0,low,low,up,high,low|low|up|high
2020-01-30,80.13500213623047,81.02249908447266,79.6875,80.96749877929688,77.99824523925781,126743200,AAPL,-0.0014489822011070075,0.014534899010302693,136739100.0,0.9268980123461394,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
