date,ticker,open,high,low,close,adj_close,volume,daily_return,log_return,return_5d_forward,return_10d_forward,rolling_volatility_20d,volume_ma_20d,volume_std_20d,volume_zscore,low_5d_forward,drawdown_5d_forward
2022-01-03,AAPL,177.8300018310547,182.8800048828125,177.7100067138672,182.00999450683597,177.93972778320312,104487900,,,-0.05395303753531455,-0.06708418121851856,,,,,168.1699981689453,-0.07603976020872216
2022-01-04,AAPL,182.6300048828125,182.94000244140625,179.1199951171875,179.6999969482422,175.68138122558594,99310400,-0.012691597320536263,-0.012772823634755067,-0.025709489124355223,-0.07495827183894055,,,,,168.1699981689453,-0.06416248734059682
2022-01-05,AAPL,179.61000061035156,180.1699981689453,174.63999938964844,174.9199981689453,171.00830078125,94537600,-0.02659988236212174,-0.02696006073023417,0.0034873120097016486,-0.059512941750976545,,,,,168.1699981689453,-0.03858906969276643
2022-01-06,AAPL,172.6999969482422,175.3000030517578,171.63999938964844,172.0,168.15357971191406,96904000,-0.016693335236175,-0.016834239263311807,0.001104665357013035,-0.0557557926621548,,,,,168.1699981689453,-0.022267452506131935
2022-01-07,AAPL,172.88999938964844,174.13999938964844,171.02999877929688,172.1699981689453,168.31979370117188,86709100,0.0009883614473564784,0.0009878733397725046,0.005227444762996969,-0.06127666355322492,,,,,168.1699981689453,-0.02323285149875487
2022-01-10,AAPL,169.0800018310547,172.5,168.1699981689453,172.19000244140625,168.33932495117188,106765600,0.00011618907285648739,0.00011618232342896318,-0.013880012519668306,-0.07207156911640278,,,,,169.41000366210938,-0.01614494883489459
2022-01-11,AAPL,172.32000732421875,175.17999267578125,170.82000732421875,175.0800018310547,171.1647186279297,76138300,0.016783781570778755,0.016644490304428706,-0.05054835510029032,-0.08790266865829244,,,,,165.94000244140625,-0.052204702387815716
2022-01-12,AAPL,176.1199951171875,177.17999267578125,174.82000732421875,175.52999877929688,171.60462951660156,74805200,0.0025702361408266317,0.002566938732786523,-0.06278131572436785,-0.09291857615233723,,,,,164.17999267578125,-0.06466134667833379
2022-01-13,AAPL,175.77999877929688,176.6199951171875,171.7899932861328,172.19000244140625,168.33932495117188,84505800,-0.019028065636177538,-0.019211429037215406,-0.056797715550441774,-0.010802024414771072,,,,,162.3000030517578,-0.05743654828632605
2022-01-14,AAPL,171.33999633789062,173.77999877929688,171.08999633789062,173.07000732421875,169.1996612548828,80440800,0.005110661887074208,0.005097646779653606,-0.06615826961618776,0.00988034542504379,,90460470.0,11543281.242066506,-0.8680088260767572,154.6999969482422,-0.1061420789193318
