date,open,high,low,close,adj_close,volume,ticker,return_1d,trend_5d_return,volume_ma_20,volume_ratio_20,google_trends_ai_interest_raw,sec_ai_intensity_raw,G_bucket,F_bucket,T_bucket,V_bucket,state_without_position
2020-01-02,93.75,94.90049743652344,93.2074966430664,94.90049743652344,94.90049743652344,80580000,AMZN,,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-03,93.2249984741211,94.30999755859375,93.2249984741211,93.74849700927734,93.74849700927734,75288000,AMZN,-0.012139034655920922,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-06,93.0,95.18450164794922,93.0,95.14399719238281,95.14399719238281,81236000,AMZN,0.01488557393050649,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-07,95.2249984741211,95.69450378417969,94.60199737548828,95.34300231933594,95.34300231933594,80898000,AMZN,0.0020916204156393725,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-08,94.9020004272461,95.55000305175781,94.3219985961914,94.59850311279297,94.59850311279297,70160000,AMZN,-0.007808640261289357,,77632400.0,0.9037463739366554,,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-09,95.49449920654297,95.89099884033203,94.79000091552734,95.05249786376953,95.05249786376953,63346000,AMZN,0.0047991747864684076,0.0016016820917905683,75251333.33333333,0.8417923934902594,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-10,95.26850128173828,95.34700012207031,94.0,94.15799713134766,94.15799713134766,57074000,AMZN,-0.009410596802031268,0.004368071330570711,72654571.42857143,0.7855527722176561,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-13,94.56549835205078,94.9000015258789,94.04000091552734,94.56500244140625,94.56500244140625,55616000,AMZN,0.004322578245699482,-0.006085457496659785,70524750.0,0.7886025827812222,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-14,94.29399871826172,94.35549926757812,92.92749786376953,93.47200012207031,93.47200012207031,68818000,AMZN,-0.011558211718052602,-0.019623906859981277,70335111.1111111,0.9784302450490984,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-15,93.61250305175781,93.94300079345703,92.75450134277344,93.10099792480469,93.10099792480469,57932000,AMZN,-0.003969126548924895,-0.015830115051638338,69094800.0,0.8384422561466275,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-16,94.14949798583984,94.27950286865234,93.3010025024414,93.89700317382812,93.89700317382812,53190000,AMZN,0.00854991102959346,-0.012156384270905485,67648909.0909091,0.7862654507631649,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-17,94.29450225830078,94.33200073242188,92.86250305175781,93.23600006103516,93.23600006103516,79946000,AMZN,-0.00703966144232826,-0.0097920208415897,68673666.66666667,1.1641434611034795,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-21,93.25,94.7135009765625,93.0,94.5999984741211,94.5999984741211,74156000,AMZN,0.014629525206926841,0.00037007383081832934,69095384.61538461,1.073241004631279,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-22,94.80449676513672,95.125,94.16699981689453,94.37300109863281,94.37300109863281,64326000,AMZN,-0.0023995494624704516,0.009639260691820306,68754714.28571428,0.9355867545705957,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-23,94.25550079345703,94.4990005493164,93.63800048828125,94.22899627685547,94.22899627685547,49692000,AMZN,-0.0015259112256781338,0.01211585672757054,67483866.66666667,0.7363537754208906,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-24,94.56849670410156,94.74949645996094,92.37200164794922,93.08200073242188,93.08200073242188,75324000,AMZN,-0.012172426638861644,-0.008679749234354883,67973875.0,1.1081316167424617,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
2020-01-27,91.0,92.05000305175781,90.76699829101562,91.41699981689453,91.41699981689453,70570000,AMZN,-0.01788746376771211,-0.0195096340785732,68126588.23529412,1.0358657585532813,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal
