passes,return,sharpe,max_dd,config
500,19.66,0.583,-34.35,both
1000,-4.79,-0.21,-23.9,both
1500,29.7,1.182,-21.66,both
2000,33.98,1.157,-12.33,both
2500,0.85,0.038,-29.03,both
3000,17.97,0.676,-26.4,both
3500,-11.14,-0.428,-36.06,both
4000,-2.83,-0.13,-33.42,both
