passes,return,sharpe,max_dd,config
500,25.24,0.904,-35.99,conf_only
1000,65.41,1.683,-14.0,conf_only
1500,94.14,2.326,-25.46,conf_only
2000,43.75,1.383,-16.73,conf_only
2500,0.1,0.005,-24.17,conf_only
3000,13.78,0.551,-23.23,conf_only
3500,21.28,0.797,-24.92,conf_only
4000,46.13,1.543,-19.24,conf_only
