strategy,total_return,sharpe,max_drawdown
Q-Learning,0.18805955886840767,0.6959673690706376,-0.35405410004834814
Buy-and-Hold,-0.1158646011352539,-1.1721245381247622,-0.1421554627969819
Random,0.3279988479614243,1.360041740980435,-0.1630805140908886
