passes,return,sharpe,max_dd,config
500,-1.51,-0.069,-22.52,vol_only
1000,-9.89,-0.425,-36.85,vol_only
1500,-14.56,-0.718,-35.48,vol_only
2000,16.56,0.565,-34.69,vol_only
2500,-0.58,-0.022,-21.37,vol_only
3000,1.39,0.063,-21.62,vol_only
3500,3.81,0.13,-36.14,vol_only
4000,29.77,0.996,-19.88,vol_only
