passes,return,sharpe,max_dd,config
500,27.33,1.017,-30.98,baseline
1000,53.59,2.167,-17.39,baseline
1500,19.65,0.619,-28.41,baseline
2000,33.47,1.249,-20.12,baseline
2500,31.78,1.077,-27.21,baseline
3000,17.09,0.524,-29.59,baseline
3500,49.62,1.632,-11.14,baseline
4000,11.55,0.502,-32.15,baseline
