date,ticker,close,volume,daily_return,volume_zscore,rolling_volatility_20d,sec_ai_density
2020-01-02,AAPL,72.33387756347656,135480400.0,,,,0.0
2020-01-03,AAPL,71.63063049316406,146322800.0,-0.009722236578501797,,,0.0
2020-01-06,AAPL,72.201416015625,118387200.0,0.007968455931927076,,,0.0
2020-01-07,AAPL,71.86184692382812,108872000.0,-0.004703080777853308,,,0.0
2020-01-08,AAPL,73.01785278320312,132079200.0,0.016086503601839608,0.2616640533847071,,0.0
2020-01-09,AAPL,74.56880187988281,170108400.0,0.021240683443329855,1.6174210174667178,0.20992258172695905,0.0
2020-01-10,AAPL,74.73735809326172,140644800.0,0.002260411983692867,0.2352919929504688,0.1894658091928169,0.0
2020-01-13,AAPL,76.33407592773438,121532000.0,0.021364386903804933,-0.6644054477089694,0.19735747952880678,0.0
2020-01-14,AAPL,75.30332946777344,161954400.0,-0.013503097370782924,1.2302959240629856,0.21831395695579323,0.0
2020-01-15,AAPL,74.98063659667969,121923600.0,-0.004285240418643754,-0.7068665424234242,0.21019588283562485,0.0
2020-01-16,AAPL,75.91985321044922,108829200.0,0.012526122161666597,-1.209026217326937,0.2026609992171968,0.0
2020-01-17,AAPL,76.76036834716797,137816400.0,0.011071084850346802,0.21488577133533032,0.19449984607815377,0.0
2020-01-21,AAPL,76.24017333984375,110843200.0,-0.006776869607653557,-1.0769000672522107,0.19377061907559592,0.0
2020-01-22,AAPL,76.5123062133789,101832400.0,0.0035694157242023294,-1.366319656778037,0.18556273056411665,0.0
2020-01-23,AAPL,76.88079071044922,104472000.0,0.004816016080376295,-1.1374198157362465,0.1782919788151563,0.0
2020-01-24,AAPL,76.65921783447266,146537600.0,-0.0028820317003639406,0.8415022691732423,0.17439551941888284,0.0
2020-01-27,AAPL,74.40503692626953,161940000.0,-0.029405216644272203,1.4360532800538537,0.21422844282319103,0.0
2020-01-28,AAPL,76.50989532470703,162234000.0,0.02828919230996796,1.3311989557443622,0.23105481335994504,0.0
2020-01-29,AAPL,78.1114273071289,216229200.0,0.020932350980549463,2.749292838316827,0.23355088415414577,0.0
2020-01-30,AAPL,77.99824523925781,126743200.0,-0.0014489822011070075,-0.35630476410449125,0.2279613627501887,0.0
2020-01-31,AAPL,74.5398941040039,199588400.0,-0.04433883255508497,1.9013350053396547,0.28064692710250155,0.0
