date,ticker,open,high,low,close,adj_close,volume,return_1d,trend_5d_return,volume_ma_20,volume_ratio_20,google_trends_ai_interest_raw,sec_ai_intensity_raw,G_bucket,F_bucket,T_bucket,V_bucket,state_without_position,next_return_1d,split
2020-01-02,AAPL,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,72.33387756347656,135480400,,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal,-0.009722236578501797,train
2020-01-03,AAPL,74.2874984741211,75.1449966430664,74.125,74.35749816894531,71.63063049316406,146322800,-0.0097222365785017,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal,0.007968455931927076,train
2020-01-06,AAPL,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,72.201416015625,118387200,0.007968455931927,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal,-0.004703080777853308,train
2020-01-07,AAPL,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,71.86184692382812,108872000,-0.0047030807778533,,,,,0.0,low,low,neutral,normal,low|low|neutral|normal,0.016086503601839608,train
2020-01-08,AAPL,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.01785278320312,132079200,0.0160865036018396,,128228320.0,1.0300314314341792,,0.0,low,low,neutral,normal,low|low|neutral|normal,0.021240683443329855,train
2020-01-09,AAPL,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,74.56880187988281,170108400,0.0212406834433298,0.0308973387254816,135208333.33333334,1.2581206779661016,1.0,0.0,low,low,up,normal,low|low|up|normal,0.002260411983692867,train
2020-01-10,AAPL,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,74.73735809326172,140644800,0.0022604119836928,0.0433714959467534,135984971.42857143,1.034267232051273,1.0,0.0,low,low,up,normal,low|low|up|normal,0.021364386903804933,train
2020-01-13,AAPL,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,76.33407592773438,121532000,0.0213643869038049,0.0572379343808857,134178350.0,0.9057496980697706,1.0,0.0,low,low,up,normal,low|low|up|normal,-0.013503097370782924,train
2020-01-14,AAPL,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,75.30332946777344,161954400,-0.0135030973707829,0.0478902601486599,137264577.7777778,1.179870310475827,1.0,0.0,low,low,up,normal,low|low|up|normal,-0.004285240418643754,train
2020-01-15,AAPL,77.9625015258789,78.875,77.38749694824219,77.83499908447266,74.98063659667969,121923600,-0.0042852404186437,0.0268808755483984,135730480.0,0.8982772329398673,1.0,0.0,low,low,up,normal,low|low|up|normal,0.012526122161666597,train
2020-01-16,AAPL,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,75.91985321044922,108829200,0.0125261221616665,0.018118184770391,133284909.0909091,0.8165155435996982,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal,0.011071084850346802,train
2020-01-17,AAPL,79.06749725341797,79.68499755859375,78.75,79.68250274658203,76.76036834716797,137816400,0.0110710848503468,0.0270682601782874,133662533.33333331,1.0310772702198272,1.0,0.0,low,low,up,normal,low|low|up|normal,-0.006776869607653557,train
2020-01-21,AAPL,79.29750061035156,79.75499725341797,79.0,79.14250183105469,76.24017333984375,110843200,-0.0067768696076535,-0.0012301529395537,131907200.0,0.8403119769049756,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal,0.0035694157242023294,train
2020-01-22,AAPL,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,76.5123062133789,101832400,0.0035694157242023,0.0160547581913075,129759000.0,0.7847810171163465,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal,0.004816016080376295,train
2020-01-23,AAPL,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,76.88079071044922,104472000,0.0048160160803762,0.0253419309306541,128073200.0,0.8157210095476649,1.0,0.0,low,low,up,normal,low|low|up|normal,-0.0028820317003639406,train
2020-01-24,AAPL,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,76.65921783447266,146537600,-0.0028820317003639,0.0097387520227933,129227225.0,1.133953004098014,1.0,0.0,low,low,neutral,normal,low|low|neutral|normal,-0.029405216644272203,train
2020-01-27,AAPL,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,74.40503692626953,161940000,-0.0294052166442722,-0.0306842120695129,131151505.88235296,1.234755170445891,1.0,0.0,low,low,down,normal,low|low|down|normal,0.02828919230996796,train
